Name,ReleaseDate,Label,Album,pop1,pop2,pop3,pop4,nonBandMemberWriters,lyricalComplexity,musicalComplexity,totalComplexity,Artist
My Blood,2018-08-27,Fueled by Ramen,Trench,-0.6860142075814168,-0.6818022447420448,-0.8619979021817817,-0.20472362122372179,0,-1.5569894354452227,0,-1.5569894354452227,Twenty One Pilots
Nico and the Niners,2018-07-11,NA,Trench,-0.6856263047312724,-0.6778389990716993,-0.7445740159639674,-0.7470378235952784,0,1.4083558977486585,0,1.4083558977486585,Twenty One Pilots
Ride,2015-05-11,Fueled by Ramen,Blurryface,0.46930757885434177,0.36465631991537184,1.0748969669100341,0.8642302393812774,0,0.01092674782874484,0,0.01092674782874484,Twenty One Pilots
Stressed Out,2015-04-28,Fueled by Ramen,Blurryface,1.6803340149501886,1.2566453836163034,1.1129499813324149,0.8951978264309137,0,0.5249001556571883,0,0.5249001556571883,Twenty One Pilots
Tear in My Heart,2015-04-06,Fueled by Ramen,Blurryface,-0.6794604591887088,-0.6555791642878268,-0.9251694612494986,-1.7893016280016567,0,-0.6349458146421941,0,-0.6349458146421941,Twenty One Pilots
3,2009-10-02,NA,NA,1.0463958814329657,1.9996452060895427,0.8075338861403724,1.008449400982439,3,-0.13982734313687104,0,-0.13982734313687104,Britney Spears
Break the Ice,2008-03-04,NA,Blackout,-0.35344067514525906,-0.4414122015123302,0.2885644987685958,0.05891553237896182,3,-0.5278022828218873,0,-0.5278022828218873,Britney Spears
Circus,2008-12-02,NA,Circus (Deluxe Version),1.2622908253012648,1.331227831871845,0.7882803407917605,1.0850483150708137,3,0.5956668443384007,0,0.5956668443384007,Britney Spears
Criminal,2011-09-30,NA,Femme Fatale (Deluxe Version),-0.6518862326533296,-0.6524855726617632,0.06785845392613915,-0.0035320136955146793,3,0.7053859574809302,0,0.7053859574809302,Britney Spears
Do Somethin',2005-02-14,NA,NA,-0.6905630536111074,-0.7352160344593244,-3.495739431613632,-3.217319087472264,3,-1.7898813808388805,0,-1.7898813808388805,Britney Spears
Everytime,2004-05-10,Jive,In the Zone,0.026032726486401047,-0.053474022121991045,0.6638068780098441,0.6885216554083602,1,-0.28655031895318195,0,-0.28655031895318195,Britney Spears
Gimme more,2007-09-18,Jive,Blackout,0.4372578052158403,0.6290000620583321,0.7882803407917605,0.5792854070639525,4,0.7319283329228315,0,0.7319283329228315,Britney Spears
Hold it Against Me,2011-01-11,NA,Femme Fatale (Deluxe Version),0.07968924499000349,1.2244250477499548,0.8075338861403724,0.4819378113267214,4,0.18026311463103695,0,0.18026311463103695,Britney Spears
